itm_horse_meat|Лошадиное мясо
itm_practice_vibro_axe_long|Вибро-резак BD-1
itm_practice_vibro_axe_long_no_attack|Вибро-резак BD-1
itm_practice_vibro_blade|Вибро-меч
itm_practice_vibro_sword3a|Вибромеч
itm_practice_vibro_sword2b|Двуручный вибромеч
itm_practice_vibro_sword1b|Вибромеч
itm_quick_battle_armor|Доспехи
itm_transparent_helmet_armor|Прозрачный шлем с броней
itm_twilek_female_helmet_armor|Шлем Твилеки с броней
itm_twilek_male_head_bib|Голова Биба Фортуны
itm_weequay_head_helmet_a|Голова виквая
itm_weequay_head_helmet_b|Голова виквая
itm_klatooinian_head_helmet_a|Голова клатуниана
itm_nikto_head_helmet_a|Голова никто
itm_nikto_head_helmet_b|Голова никто
itm_nikto_head_helmet_c|Голова никто
itm_tarkin_head|Голова гран-моффа Таркина
itm_ben_head|Голова Бена Кеноби
itm_leia_head|Голова Леи Органы
itm_rancor_body_a|Тело ранкора
itm_rancor_body_b|Тело ранкора
itm_rancor_body_c|Тело ранкора
itm_rancor_attack| 
itm_rancor_keeper_armor|Одежда смотрителя ранкора
itm_yoda_armor|Одежда и кресло Йоды
itm_yoda_lightsaber|Световой меч Йоды
itm_yoda_speeder|Прозрачный спидер Йоды
itm_jabba_armor|Одежда и кресло Джаббы
itm_jabba_attack|Jabba No Attack
itm_jabba_speeder|Прозрачный спидер Джабы
itm_transparent_head|Прозрачная голова
itm_transparent_body|Прозрачное тело
itm_transparent_hands|Прозрачные руки
itm_transparent_feet|Прозрачные ноги
itm_darth_vader_helmet|Шлем Дарта Вейдера
itm_darth_vader_armor|Броня Дарта Вейдера
itm_darth_vader_feet|Сапоги Дарта Вейдера
itm_princess_leia_outfit|Одежда Принцессы Лейи
itm_princess_leia_blaster|Бластер Лейи DDC &quot;Защитник&quot; \n
itm_han_solo_outfit|Одежда Хана Соло
itm_han_solo_blaster|DL-44 Хана Соло
itm_luke_skywalker_outfit|Одежда Люка
itm_chewbacca_bowcaster|Арбалет Чубакки
itm_chewbacca_ryyk_blade|Клинок Рукк Чубакки
itm_boba_fett_armor|Доспехи Бобы Фета
itm_boba_fett_helmet|Шлем Бобы Фета
itm_boba_fett_boots|Обувь Бобы Фетта
itm_boba_fett_blaster|EE-3 Бобы Фета
itm_joruus_lightsaber|Световой меч Кбаоч
itm_dengar_armor|Доспехи Денгара
itm_dengar_helmet|Обмотка головы Денгара
itm_dengar_boots|Сапоги Денгара
itm_dengar_gloves|Перчатки Денгара
itm_weequay_vibro_axe|Вибро-топор Виквая
itm_force_throw_lightsaber_green|Метательный световой меч
itm_force_throw_lightsaber_blue|Метательный световой меч
itm_force_throw_lightsaber_orange|Метательный световой меч
itm_force_throw_lightsaber_purple|Метательный световой меч
itm_force_throw_lightsaber_yellow|Метательный световой меч
itm_force_throw_lightsaber_red|Метательный световой меч
itm_force_throw_lightsaber_green_merch|Метательный световой меч
itm_force_throw_lightsaber_blue_merch|Метательный световой меч
itm_force_throw_lightsaber_orange_merch|Метательный световой меч
itm_force_throw_lightsaber_purple_merch|Метательный световой меч
itm_force_throw_lightsaber_yellow_merch|Метательный световой меч
itm_force_throw_lightsaber_red_merch|Метательный световой меч
itm_force_throw_lightsaber_green_pike|Метательная световая пика
itm_force_throw_lightsaber_blue_pike|Метательная световая пика
itm_force_throw_lightsaber_orange_pike|Метательная световая пика
itm_force_throw_lightsaber_purple_pike|Метательная световая пика
itm_force_throw_lightsaber_yellow_pike|Метательная световая пика
itm_force_throw_lightsaber_red_pike|Метательная световая пика
itm_force_throw_lightsaber_red_double|Метательный двойной световой меч
itm_twilek_dagger_throwing|Метательные кинжалы Твилеков
itm_discblade|Диск-Лезвие
itm_thermal_detonator1|Термальный детонатор
itm_thermal_detonator2|Термальный детонатор
itm_thermal_detonator3|Термальный детонатор
itm_energy_shield_red_small|Малый энергетический щит
itm_energy_shield_blue_small|Малый энергетический щит
itm_energy_shield_green_small|Малый энергетический щит
itm_energy_shield_yellow_small|Малый энергетический щит
itm_energy_shield_red_medium|Средний энергетический щит
itm_energy_shield_blue_medium|Средний энергетический щит
itm_energy_shield_green_medium|Средний энергетический щит
itm_energy_shield_yellow_medium|Средний энергетический щит
itm_energy_shield_red_large|Большой энергетический щит
itm_energy_shield_blue_large|Большой энергетический щит
itm_energy_shield_green_large|Большой энергетический щит
itm_energy_shield_yellow_large|Большой энергетический щит
itm_energy_shield_oval|Овальный энергетический щит
itm_energy_shield_circle|Круглый энергетический щит
itm_durasteel_shield_small|Малый дюрасталевый щит
itm_durasteel_shield_small_2|Малый дюрасталевый щит
itm_durasteel_shield_large|Большой дюрасталевый щит
itm_wookiee_shield_small|Малый щит Вуки
itm_wookiee_shield_large|Большой щит Вуки
itm_westar_shield|Westar-34 - Щит
itm_ryyk_kerarthorr_shield|Щит Руук-Керарторр
itm_ryyk_blade_shield|Клинок Руук - Щит
itm_lightsaber_block_blue|Световой меч - Щит
itm_lightsaber_block_green|Световой меч - Щит
itm_lightsaber_block_orange|Световой меч - Щит
itm_lightsaber_block_purple|Световой меч - Щит
itm_lightsaber_block_red|Световой меч - Щит
itm_lightsaber_block_yellow|Световой меч - Щит
itm_force_block|Блок Силы
itm_force_shield|Щит
itm_force_protect|Оберег Силы
itm_hero_shield|Прозрачный щит Героя
itm_practice_energy_shield|Тренировочный энергетический щит
itm_tutorial_energy_shield|Энергетический щит - Обучение
itm_force_throw_lightsaber_t|Метание светового меча
itm_force_throw_lightsaber_tl|Метание светового меча
itm_force_lightning_ammo|Молния
itm_force_push_ammo|Толчок
itm_laser_bolts_green_pistol|Газ. картриджи - Плазма
itm_laser_bolts_red_pistol|Газ. картриджи - Плазма
itm_laser_bolts_orange_pistol|Газ. картриджи - Плазма
itm_laser_bolts_yellow_pistol|Газ. картриджи - Плазма
itm_laser_bolts_blue_pistol|Газ. картриджи - Плазма
itm_stun_beam_pistol|Луч. картриджи - Оглушение
itm_ion_beam_pistol|Ионные луч. картриджи
itm_sonic_beam_pistol|Акустич. картриджи
itm_ammo_belt_pistol|Пояс боеприпасов
itm_disruptor_ammo|Импульсные пистол. патроны
itm_laser_bolts_green_rifle|Газ. картриджи - Плазма
itm_laser_bolts_red_rifle|Газ. картриджи - Плазма
itm_laser_bolts_orange_rifle|Газ. картриджи - Плазма
itm_laser_bolts_yellow_rifle|Газ. картриджи - Плазма
itm_laser_bolts_blue_rifle|Газ. картриджи - Плазма
itm_stun_beam_rifle|Луч. картриджи - Оглушение
itm_ion_beam_rifle|Луч. картриджи - Оглушение
itm_sonic_beam_rifle|Луч. картриджи - Акустические
itm_ammo_belt_rifle|Пояс боеприпасов
itm_disruptor_ammo_rifle|Импульсные винтов. заряды
itm_laser_bolts_training_pistol|Лазерные заряды
itm_laser_bolts_training_rifle|Лазерные заряды
itm_force_power_ls_1|Сила - Ученик
itm_force_power_ls_2|Сила - Падаван
itm_force_power_ls_3|Сила - Рыцарь
itm_force_power_ls_4|Сила - Мастер
itm_force_power_ds_1|Сила - Ученик
itm_force_power_ds_2|Сила - Падаван
itm_force_power_ds_3|Сила - Рыцарь
itm_force_power_ds_4|Сила - Мастер
itm_force_jump|Прыжок
itm_a280|A-280
itm_a280_crouch|A-280
itm_a280_stun|Оглуш. A-280s
itm_a295|A-295
itm_a295_crouch|A-295
itm_a295_stun|Оглуш. A-295s
itm_mandalorian_heavy_blaster|Мандалорский тяжелый бластер
itm_corellian_destroyer_blaster|Кореллианский бластер Разрушителя
itm_dlt19|DLT-19
itm_dlt19_scope|DLT-19 - Прицел
itm_dlt20a|DLT-20A
itm_e17d|E-17d
itm_dc15a|DC-15A
itm_dc15a_hip|DC-15A
itm_dc15s|DC-15S
itm_trandoshan_acp_array_gun|Трандошанский излучатель ACP
itm_trandoshan_stun_gun|Трандошанский шок. бластер
itm_quicksnap_36t|QuickSnap 36T
itm_bothan_bola_carabine|Ботанский Карабин Бола
itm_ee3|EE-3
itm_ee3_stun|Шок. EE-3s
itm_mg15|RT-97C
itm_e5|E-5
itm_e11|E-11
itm_e11_hip|E-11
itm_e11_stun|Шок. E-11s
itm_wookiee_bowcaster|Арбалет
itm_kashyyyk_long_gun|Винтовка с Кашиика
itm_tusken_rifle|Цикл. Винтовка Тускен
itm_geonosian_sonic_rifle|Геонозианское звуковое орудие
itm_t21|T-21
itm_senate_rifle|Ружье стражи
itm_kisteer_1284|KiSteer 1284
itm_ion_blaster|Ионный бластер
itm_heavy_repeater|Имперский тяжелый повторитель
itm_storm_rifle|Винтовка штурмовика
itm_dh17|DH-17
itm_dh17_stun|Оглуш. DH-17
itm_se14r|SE-14R
itm_dl44a|DL-44
itm_dl44a_stun|Оглуш. DL-44
itm_dl44b|Мод. DL-44
itm_q2|Q2
itm_q2_stun|Шок. Q2
itm_elg3a|ELG-3A
itm_elg3a_stun|Шок. ELG-3As
itm_scout_trooper_pistol|Пистолет имперского разведчика
itm_ddc_defender|DDC Defender
itm_geonosian_sonic_pistol|Геонозианский звуковой пистолет
itm_dl18|DL-18
itm_westar|Westar-34
itm_westar_stun|Оглуш. Westar-34
itm_ion_pistol|Ионный пистолет
itm_trandoshan_supressor|Трандошанский подавитель
itm_wrist_blaster|Наручный бластер
itm_practice_dl44|DL-44
itm_dl44a_training|DL-44
itm_dlt19_training|DLT-19 - Прицел
itm_heavy_weapons_ammo|Боеприпасы для тяж. оружия
itm_rocket_launcher|RDP-12 Гранатомет (в разработке)
itm_flame_rifle|CR-24 Огнемет (в разработке)
itm_concussion_rifle|W-90 (в разработке)
itm_force_kill|Убийство
itm_force_choke|Удушение
itm_force_knockdown|Удар
itm_force_stun|Оглушение
itm_speeder|Граждан. спидер 74-Z
itm_speeder_rebel|Воен. спидер 74-Z
itm_speeder_imperial|Воен. спидер Z4-Z
itm_speeder_hutt|Воен. спидер Z4-Z
itm_speeder_shadow|Темн. спидер 74-Z
itm_speeder_fc20|Спидер FC-20
itm_horus_winged_cruiser|Крылатый крейсер - Хорус
itm_speeder_dagger|Спидер 74-Z с лезвиями
itm_practice_speeder|Граждан. спидер 74-Z
itm_arena_speeder|Граждан. спидер 74-Z
